Age_band_of_driver,Driving_experience,Road_surface_conditions,Light_conditions,Weather_conditions,Number_of_vehicles_involved,Number_of_casualties,Casualty_severity,Accident_severity,Sex_of_driver_Female,Sex_of_driver_Male,Sex_of_driver_Unknown,Type_of_vehicle_Commercial Vehicle,Type_of_vehicle_Non-Motorized,Type_of_vehicle_Other,Type_of_vehicle_Private Vehicle,Type_of_vehicle_Public Transport,Type_of_vehicle_Special Vehicle,Owner_of_vehicle_Governmental,Owner_of_vehicle_Organization,Owner_of_vehicle_Other,Owner_of_vehicle_Owner,Vehicle_driver_relation_Employee,Vehicle_driver_relation_Other,Vehicle_driver_relation_Owner,Vehicle_driver_relation_Unknown,Road_surface_type_Asphalt roads,Road_surface_type_Asphalt roads with some distress,Road_surface_type_Earth roads,Road_surface_type_Gravel roads,Road_surface_type_Other,Type_of_collision_kfold,Types_of_Junction_kfold,Lanes_or_Medians_kfold,Day_kfold,Cause_of_accident_kfold,Hour_kfold,Area_accident_occured_kfold,Road_allignment_kfold,Vehicle_movement_kfold
0,1,3,0,4,2,3,3,2,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.8356164383561644,1.8322505800464037,1.8306636155606408,1.860759493670886,1.8567656765676568,1.7873015873015874,1.8142589118198875,1.8349112426035503,1.8248772504091653
0,4,0,2,2,2,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.8270676691729324,1.8354603463992707,1.8262150220913107,1.8368347338935573,1.799342105263158,1.8740629685157422,1.8067278287461774,1.8341589997640952,1.8362339514978603
3,1,0,2,2,2,1,3,2,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.7969924812030076,1.8301363531314998,1.8375558867362145,1.8377412437455325,1.8128654970760234,1.8588770864946889,1.8316279069767443,1.8336678078148978,1.8360820306898036
0,1,0,2,2,1,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.7925925925925925,1.8767123287671232,1.8239600665557405,1.8228454172366622,1.7888675623800383,1.8160919540229885,1.844626168224299,1.828703156401466,1.832140015910899
0,2,0,2,2,2,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.9523809523809523,1.8322505800464037,1.8306636155606408,1.827012641383899,1.7659574468085106,1.86,1.830827067669173,1.8349112426035503,1.8409090909090908
1,3,0,2,2,2,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.8387096774193548,1.8301363531314998,1.8247764160317985,1.8315217391304348,1.832582322357019,1.858736059479554,1.8426966292134832,1.8336678078148978,1.8241491085899513
0,2,0,2,2,2,3,3,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1.8356164383561644,1.877668782458165,1.8306636155606408,1.843814789219074,1.8370786516853932,1.8287581699346405,1.8142589118198875,1.8349112426035503,1.8131067961165048
0,1,0,2,2,2,3,2,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.8465909090909092,1.877668782458165,1.8306636155606408,1.843814789219074,1.832,1.8287581699346405,1.8142589118198875,1.75,1.835801765878667
0,2,0,2,2,2,3,2,2,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.8394160583941606,1.8758620689655172,1.8526946107784432,1.840082361015786,1.8296167247386759,1.8276762402088773,1.8429602888086642,1.8340420505551618,1.834099396725079
0,1,0,2,2,1,1,3,2,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.8394160583941606,1.8118682751874797,1.8288787483702738,1.8275862068965518,1.8296167247386759,1.8537074148296593,1.7346938775510203,1.8340420505551618,1.834099396725079
