Age_band_of_driver,Educational_level,Driving_experience,Service_year_of_vehicle,Number_of_vehicles_involved,Number_of_casualties,Age_band_of_casualty,Casualty_severity,Accident_severity,Sex_of_driver_Female,Sex_of_driver_Male,Sex_of_driver_Unknown,Vehicle_driver_relation_Employee,Vehicle_driver_relation_Other,Vehicle_driver_relation_Owner,Vehicle_driver_relation_Unknown,Owner_of_vehicle_Governmental,Owner_of_vehicle_Organization,Owner_of_vehicle_Other,Owner_of_vehicle_Owner,Road_surface_type_Asphalt roads,Road_surface_type_Asphalt roads with some distress,Road_surface_type_Earth roads,Road_surface_type_Gravel roads,Road_surface_type_Other,Road_surface_conditions_Dry,Road_surface_conditions_Flood over 3cm. deep,Road_surface_conditions_Snow,Road_surface_conditions_Wet or damp,Light_conditions_Darkness - lights lit,Light_conditions_Darkness - lights unlit,Light_conditions_Daylight,Sex_of_casualty_Female,Sex_of_casualty_Male,Sex_of_casualty_unknown,Fitness_of_casuality_Blind,Fitness_of_casuality_Deaf,Fitness_of_casuality_Normal,Fitness_of_casuality_Other,Fitness_of_casuality_unknown,Day_Friday,Day_Monday,Day_Saturday,Day_Sunday,Day_Thursday,Day_Tuesday,Day_Wednesday,Time_encoded,Type_of_vehicle_encoded,Area_accident_occured_encoded,Lanes_or_Medians_encoded,Road_allignment_encoded,Types_of_Junction_encoded,Weather_conditions_encoded,Type_of_collision_encoded,Vehicle_movement_encoded,Cause_of_accident_encoded,Pedestrian_movement_encoded
0,4,2,1,2,3,3,2,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1.8276762402088773,1.8343373493975903,1.8429602888086642,1.8526946107784432,1.8335958595859585,1.8758620689655172,1.8268872030841936,1.8394160583941606,1.834099396725079,1.8296167247386759,1.8243727598566308
0,0,1,1,1,1,4,3,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1.8537074148296593,1.8343373493975903,1.7346938775510203,1.8288787483702738,1.8335958595859585,1.8118682751874797,1.8268872030841936,1.8394160583941606,1.834099396725079,1.8296167247386759,1.8348573317175279
1,4,2,5,2,1,1,2,2,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1.8601769911504424,1.8343373493975903,1.8461538461538463,1.830921553693831,1.8335958595859585,1.8118682751874797,1.8268872030841936,1.8376140350877193,1.834099396725079,1.8570508692852543,1.8348573317175279
0,4,0,5,2,1,0,1,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1.858736059479554,1.82784,1.8426966292134832,1.8356164383561644,1.8338205531819205,1.8109339407744875,1.82715281234445,1.8387096774193548,1.8360820306898036,1.7959183673469388,1.8334981866139137
0,4,1,5,1,1,4,3,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1.8241279069767442,1.8319661943823018,1.8149253731343284,1.831858407079646,1.8338205531819205,1.8739255014326648,1.82715281234445,1.826896551724138,1.8360820306898036,1.832582322357019,1.8334981866139137
0,4,3,4,1,1,0,2,2,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1.8309492847854356,1.8322114185988532,1.8067278287461774,1.8352402745995424,1.8343999101830022,1.8094457199081666,1.8289620882535738,1.8186666666666667,1.8244897959183672,1.861256544502618,1.835566783831283
0,4,4,2,2,1,0,2,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1.8241279069767442,1.82784,1.8316279069767443,1.8247764160317985,1.8338205531819205,1.8109339407744875,1.82715281234445,1.8387096774193548,1.8241491085899513,1.832582322357019,1.8334981866139137
0,4,1,5,2,1,4,3,2,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1.8145985401459854,1.8322114185988532,1.8067278287461774,1.830289193302892,1.8343999101830022,1.8094457199081666,1.8289620882535738,1.8270676691729324,1.8179669030732861,1.8471834913552705,1.835566783831283
1,4,4,0,2,1,0,2,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.8502495840266222,1.8343373493975903,1.894736842105263,1.8288787483702738,1.837837837837838,1.8083333333333333,1.8268872030841936,1.8394160583941606,1.834099396725079,1.8570508692852543,1.8348573317175279
0,2,2,1,2,1,3,2,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1.8330708661417323,1.8322114185988532,1.9333333333333333,1.8352402745995424,1.8383233532934131,1.838235294117647,1.8289620882535738,1.8542274052478134,1.8362339514978603,1.8471834913552705,1.800865800865801
0,0,0,5,2,2,4,3,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1.7661290322580645,1.8268482490272373,1.8348457350272231,1.8531994981179423,1.8338205531819205,1.8739255014326648,1.82715281234445,1.826896551724138,1.8360820306898036,1.852374839537869,1.8334981866139137
1,4,4,1,2,2,0,1,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1.7661290322580645,1.8319661943823018,1.8149253731343284,1.8247764160317985,1.8245614035087718,1.8739255014326648,1.82715281234445,1.7969924812030076,1.8360820306898036,1.8448753462603877,1.8334981866139137
1,4,2,5,2,2,4,3,2,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1.7768595041322315,1.8303904501367818,1.8033472803347281,1.8188073394495412,1.8294879009566685,1.8767123287671232,1.8243914555389966,1.7925925925925925,1.8293031907282873,1.8282097649186257,1.8317038339009117
1,2,4,5,2,1,0,2,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.8431105047748977,1.8322114185988532,1.7897727272727273,1.830289193302892,1.8343999101830022,1.8094457199081666,1.8289620882535738,1.7774607703281027,1.8362339514978603,1.8358003442340791,1.835566783831283
0,2,4,3,2,1,4,3,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1.8437067773167357,1.8232499208108963,1.8142589118198875,1.8306636155606408,1.8345315659402381,1.8163923846402066,1.8271774394809084,1.8396345748418834,1.835801765878667,1.8240146654445464,1.8360241625480505
0,4,2,2,2,2,1,2,2,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.8125,1.8322114185988532,1.8414779499404053,1.830289193302892,1.8343999101830022,1.8094457199081666,1.8289620882535738,1.8419277785583814,1.8362339514978603,1.8358003442340791,1.835566783831283
0,2,1,5,2,2,0,2,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1.7955974842767295,1.8319661943823018,1.8348457350272231,1.8247764160317985,1.8338205531819205,1.8109339407744875,1.82715281234445,1.799151343705799,1.8360820306898036,1.852374839537869,1.8334981866139137
0,4,3,5,2,1,3,2,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1.832183908045977,1.8362944162436547,1.8417085427135678,1.8297705943691345,1.8235294117647058,1.8322505800464037,1.8271774394809084,1.8396345748418834,1.835801765878667,1.8466593647316538,1.7962264150943397
0,4,3,5,2,1,3,2,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1.8370044052863437,1.8277419354838709,1.8429602888086642,1.8328940432261465,1.8452380952380953,1.834525732748673,1.8268872030841936,1.8219824679703305,1.834099396725079,1.8296167247386759,1.8348573317175279
0,4,2,1,1,1,4,3,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1.8494208494208495,1.827140549273021,1.8370597243491578,1.8352402745995424,1.8379052369077307,1.8354603463992707,1.8289620882535738,1.8419277785583814,1.8362339514978603,1.8358003442340791,1.835566783831283
0,4,0,1,2,1,4,3,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1.8888888888888888,1.8322114185988532,1.8370597243491578,1.8352402745995424,1.8343999101830022,1.881257275902212,1.8289620882535738,1.8419277785583814,1.8362339514978603,1.813528336380256,1.835566783831283
0,5,4,5,2,1,0,2,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1.8888888888888888,1.8846153846153846,1.8067278287461774,1.828981723237598,1.8343999101830022,1.881257275902212,1.8289620882535738,1.8419277785583814,1.8362339514978603,1.8471834913552705,1.835566783831283
0,4,4,5,2,1,4,3,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1.829560585885486,1.8319661943823018,1.8316279069767443,1.8325605358062855,1.8338205531819205,1.8739255014326648,1.82715281234445,1.8387096774193548,1.8360820306898036,1.832582322357019,1.8334981866139137
0,2,1,4,2,1,0,1,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1.8287581699346405,1.8366274706029522,1.8321592649310874,1.8334981866139137,1.8345315659402381,1.877668782458165,1.8271774394809084,1.8396345748418834,1.835801765878667,1.8310051107325382,1.8360241625480505
0,4,0,2,2,1,2,2,2,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.8434782608695652,1.8322114185988532,1.8370597243491578,1.828981723237598,1.8343999101830022,1.8023952095808384,1.8289620882535738,1.8419277785583814,1.8362339514978603,1.8418079096045197,1.835566783831283
0,4,2,2,2,1,4,3,2,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1.8392857142857142,1.853582554517134,1.8395672333848532,1.8288787483702738,1.8335958595859585,1.8005464480874316,1.8268872030841936,1.8376140350877193,1.834099396725079,1.8381962864721486,1.8348573317175279
1,1,1,1,2,3,1,2,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1.8360995850622406,1.8362944162436547,1.8321592649310874,1.8608058608058609,1.8345315659402381,1.8163923846402066,1.8271774394809084,1.7969613259668509,1.835801765878667,1.832,1.8360241625480505
0,1,2,5,2,3,1,2,2,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1.8360995850622406,1.8366274706029522,1.8321592649310874,1.8297705943691345,1.8345315659402381,1.8163923846402066,1.8271774394809084,1.8396345748418834,1.835801765878667,1.8466593647316538,1.8360241625480505
0,4,3,1,2,3,4,3,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1.8354166666666667,1.8303904501367818,1.844626168224299,1.8292555960437271,1.8294879009566685,1.8078947368421052,1.8243914555389966,1.826027397260274,1.8293031907282873,1.8479948253557568,1.8317038339009117
